id,name,service,wilaya,price,rating,latitude,longitude,description
1.0,Aymen_1,Chauffagiste,Ghardaïa,6273,2.3,31.47015,-3.756987,"Chauffagiste professionnel à Ghardaïa, prix 6273 DA"
2.0,Adel_2,Plombier,Aïn Defla,3264,3.1,33.153245,-1.111833,"Plombier professionnel à Aïn Defla, prix 3264 DA"
3.0,Zinedine_3,Maçon,Ouargla,7735,3.6,26.775433,-1.230038,"Maçon professionnel à Ouargla, prix 7735 DA"
4.0,Mounir_4,Menuisier,Annaba,6557,3.3,36.599753,-3.668091,"Menuisier professionnel à Annaba, prix 6557 DA"
5.0,Mokhtar_5,Jardinier,In Guezzam,4986,2.3,26.475244,0.23965,"Jardinier professionnel à In Guezzam, prix 4986 DA"
6.0,Farouk_6,Jardinier,Médéa,4923,4.6,36.057621,6.150957,"Jardinier professionnel à Médéa, prix 4923 DA"
7.0,Mounir_7,Électricien,MSila,5959,4.6,24.422055,2.91048,"Électricien professionnel à MSila, prix 5959 DA"
8.0,Ahmed_8,Maçon,Djanet,5059,4.7,36.413352,-8.139188,"Maçon professionnel à Djanet, prix 5059 DA"
9.0,Yacine_9,Chauffagiste,Djelfa,3570,4.6,33.245662,-8.293702,"Chauffagiste professionnel à Djelfa, prix 3570 DA"
10.0,Fares_10,Plombier,Timimoun,1860,2.9,31.307039,5.493776,"Plombier professionnel à Timimoun, prix 1860 DA"
11.0,Lounis_11,Électricien,Laghouat,5394,4.1,22.618209,-7.028603,"Électricien professionnel à Laghouat, prix 5394 DA"
12.0,Khaled_12,Peintre,Ouled Djellal,834,3.7,35.42645,-5.230169,"Peintre professionnel à Ouled Djellal, prix 834 DA"
13.0,Tahar_13,Climatisation,Khenchela,7900,3.2,27.753294,-4.252881,"Climatisation professionnel à Khenchela, prix 7900 DA"
14.0,Samy_14,Maçon,Mascara,5747,1.1,35.498618,-5.226161,"Maçon professionnel à Mascara, prix 5747 DA"
15.0,Fethi_15,Chauffagiste,In Guezzam,5658,2.6,29.072906,7.455361,"Chauffagiste professionnel à In Guezzam, prix 5658 DA"
16.0,Aymen_16,Maçon,Skikda,4909,4.5,28.369706,-8.026978,"Maçon professionnel à Skikda, prix 4909 DA"
17.0,Sami_17,Menuisier,In Guezzam,4370,4.9,34.837692,-5.213758,"Menuisier professionnel à In Guezzam, prix 4370 DA"
18.0,Omar_18,Climatisation,Skikda,4519,2.6,30.856719,-1.446712,"Climatisation professionnel à Skikda, prix 4519 DA"
19.0,Ali_19,Peintre,Béchar,5597,1.7,36.400159,-7.018175,"Peintre professionnel à Béchar, prix 5597 DA"
20.0,Zinedine_20,Soudeur,Saïda,1545,1.4,35.643218,11.525478,"Soudeur professionnel à Saïda, prix 1545 DA"
21.0,Salim_21,Carreleur,Adrar,6993,3.9,35.631903,-2.85761,"Carreleur professionnel à Adrar, prix 6993 DA"
22.0,Hakim_22,Climatisation,Touggourt,2166,1.5,28.941598,10.409488,"Climatisation professionnel à Touggourt, prix 2166 DA"
23.0,Brahim_23,Électricien,Biskra,2888,2.5,19.659463,4.677218,"Électricien professionnel à Biskra, prix 2888 DA"
24.0,Amine_24,Peintre,Tiaret,1282,3.2,33.697265,-7.655409,"Peintre professionnel à Tiaret, prix 1282 DA"
25.0,Samir_25,Peintre,El Meniaa,6684,2.8,32.690231,9.683614,"Peintre professionnel à El Meniaa, prix 6684 DA"
26.0,Yassine_26,Menuisier,Laghouat,7945,3.0,27.037167,8.208877,"Menuisier professionnel à Laghouat, prix 7945 DA"
27.0,Zinedine_27,Peintre,Djelfa,1051,3.4,21.402925,-7.115198,"Peintre professionnel à Djelfa, prix 1051 DA"
28.0,Bilal_28,Menuisier,Tipaza,3161,2.4,30.68573,-5.555337,"Menuisier professionnel à Tipaza, prix 3161 DA"
29.0,Farouk_29,Climatisation,Mascara,6194,3.3,34.214342,-2.006532,"Climatisation professionnel à Mascara, prix 6194 DA"
30.0,Fouad_30,Jardinier,Skikda,5975,3.4,28.079457,1.538149,"Jardinier professionnel à Skikda, prix 5975 DA"
31.0,Amine_31,Soudeur,Constantine,5796,1.2,22.851852,7.226316,"Soudeur professionnel à Constantine, prix 5796 DA"
32.0,Aymen_32,Jardinier,Mila,4435,1.7,29.144564,-0.128348,"Jardinier professionnel à Mila, prix 4435 DA"
33.0,Rachid_33,Jardinier,Oran,7795,1.7,21.246339,2.606719,"Jardinier professionnel à Oran, prix 7795 DA"
